STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,23,0,23,53,30,23,8,0,16,191,366,57,309,168,11,65,8,69,1543,7,118,24,154,0,270,754,4125
ANDHRA PRADESH,CHITTOOR,2001,101,57,2,27,0,27,59,34,25,4,0,14,237,723,164,559,156,33,209,9,38,2088,14,112,83,186,0,404,1262,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,53,1,20,0,20,25,20,5,1,0,4,98,173,36,137,164,12,37,2,23,795,17,126,38,57,0,233,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,1,23,0,23,49,26,23,4,0,25,437,1021,150,871,70,50,220,3,41,1244,12,109,58,247,0,431,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,0,0,0,0,0,5,0,2,0,162,0,162,1,0,0,3,0,1,0,1,0,0,0,4,104,287
ANDHRA PRADESH,GUNTUR,2001,182,88,2,54,0,54,82,51,31,16,3,59,338,1122,171,951,244,67,300,8,43,1792,7,139,129,378,0,369,2426,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,56,0,56,67,49,18,27,1,50,218,392,54,338,220,25,243,5,33,1392,62,414,81,224,0,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,47,0,47,41,30,11,1,0,13,172,368,34,334,153,35,130,5,73,1026,17,180,336,172,0,209,1450,4582
ANDHRA PRADESH,KRISHNA,2001,65,51,0,37,0,37,36,21,15,3,0,15,163,478,27,451,70,24,104,1,62,1985,10,208,72,265,0,268,862,4779
ANDHRA PRADESH,KURNOOL,2001,133,72,4,29,0,29,47,47,0,6,0,22,155,297,6,291,84,6,126,2,5,1547,13,141,107,92,0,292,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,26,59,0,59,42,27,15,8,0,27,249,316,33,283,157,22,84,0,0,867,14,176,41,69,0,280,2158,4819
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002
ANDHRA PRADESH,NELLORE,2001,89,69,5,46,0,46,90,80,10,12,2,16,244,608,72,536,97,20,177,3,65,1119,10,207,228,287,0,266,1585,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,21,0,21,38,21,17,7,0,22,158,234,48,186,51,61,122,1,30,1383,19,55,15,228,0,220,787,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,82,3,19,0,19,31,12,19,15,0,14,147,278,33,245,138,16,88,1,43,1266,5,140,100,119,0,263,808,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,95,16,72,0,72,106,83,23,24,3,78,1076,1296,347,949,65,67,527,3,67,2829,37,113,55,421,7,593,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,0,0,0,0,0,0,10,2,296,0,296,1,2,4,25,0,17,1,0,1,0,0,6,68,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,4,8,0,8,12,12,0,1,0,4,118,231,1,230,70,18,53,0,34,679,6,38,47,108,0,167,926,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,5,25,0,25,70,48,22,3,0,27,491,2057,264,1793,19,34,614,10,17,1578,2,84,122,520,0,234,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,0,1,0,0,0,0,0,1,0,265,0,265,1,2,3,6,0,9,0,1,1,0,0,2,25,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,0,12,0,12,12,12,0,4,0,3,76,165,0,165,138,19,39,3,31,1476,3,67,48,99,0,216,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,1,13,0,13,13,6,7,1,0,5,323,630,172,458,9,37,192,3,15,325,0,33,462,204,0,196,928,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,1,8,0,8,8,2,6,0,0,2,99,144,0,144,36,11,41,2,12,529,0,40,22,121,0,175,880,2178
ANDHRA PRADESH,WARANGAL,2001,158,79,5,53,0,53,81,25,56,2,0,23,266,418,79,339,330,6,137,2,0,1718,52,241,0,165,0,269,2314,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,1,61,0,61,41,21,20,7,0,15,257,1116,74,1042,96,63,270,2,32,972,15,246,56,348,0,354,1609,5696
GOA,NORTH GOA,2001,22,16,4,4,0,4,4,1,3,5,0,10,189,291,80,211,33,25,29,0,10,93,2,12,2,6,0,110,404,1271
GOA,SOUTH GOA,2001,14,14,1,8,0,8,5,5,0,2,0,15,170,285,88,197,31,14,33,2,6,81,0,5,5,5,0,81,293,1070
HIMACHAL PRADESH,BILASPUR,2001,8,10,0,5,0,5,10,9,1,2,0,3,50,49,13,36,76,11,12,0,20,74,1,35,1,47,0,35,625,1074
HIMACHAL PRADESH,CHAMBA,2001,13,3,0,12,0,12,17,15,2,0,0,1,92,29,4,25,6,5,8,0,8,63,0,23,1,21,0,40,213,555
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4
HIMACHAL PRADESH,HAMIRPUR,2001,2,5,1,3,0,3,3,3,0,0,0,1,29,17,1,16,26,5,11,0,7,178,1,17,2,33,0,44,362,747
HIMACHAL PRADESH,KANGRA,2001,24,16,3,18,0,18,30,21,9,1,0,4,146,108,26,82,125,1,29,1,26,280,1,43,0,58,0,2,1119,2035
HIMACHAL PRADESH,KINNAUR,2001,5,0,0,6,0,6,3,3,0,0,0,0,24,2,0,2,4,2,0,0,1,4,0,4,0,2,0,26,64,147
HIMACHAL PRADESH,KULLU,2001,13,1,0,13,0,13,7,6,1,0,0,1,50,17,5,12,27,3,7,1,6,36,0,12,0,2,0,36,398,630
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,0,0,2,0,2,1,1,0,0,0,1,5,1,0,1,2,0,1,0,1,1,0,0,0,1,0,9,24,50
HIMACHAL PRADESH,MANDI,2001,18,8,0,16,0,16,11,10,1,0,0,3,107,64,18,46,83,6,22,0,34,218,0,59,4,56,0,75,963,1747
HIMACHAL PRADESH,SHIMLA,2001,14,13,2,18,0,18,13,11,2,0,0,7,170,188,42,146,122,13,31,0,13,89,2,50,1,31,0,60,1127,1964
HIMACHAL PRADESH,SIRMAUR,2001,3,5,0,10,0,10,13,11,2,0,0,4,37,27,8,19,56,2,12,0,4,60,3,33,4,22,0,47,361,703
HIMACHAL PRADESH,SOLAN,2001,11,8,4,12,0,12,13,10,3,0,0,1,77,59,16,43,62,17,7,0,9,279,2,23,1,24,0,45,476,1130
HIMACHAL PRADESH,UNA,2001,6,6,1,9,0,9,5,5,0,1,0,2,57,38,9,29,38,4,6,0,5,121,0,11,0,20,0,64,319,713
KARNATAKA,BAGALKOT,2001,59,34,10,2,0,2,17,7,10,2,0,3,47,105,27,78,218,6,18,2,12,315,1,39,0,50,0,0,770,1710
KARNATAKA,BANGALORE COMMR.,2001,221,327,5,40,0,40,152,56,96,31,25,284,2108,6293,2401,3892,298,258,1708,79,3,3735,40,223,51,229,0,38,11106,27254
KARNATAKA,BANGALORE RURAL,2001,137,86,2,13,0,13,37,10,27,23,0,32,405,533,92,441,358,22,60,2,39,1097,30,90,0,123,0,0,2120,5209
KARNATAKA,BELGAUM,2001,120,55,2,8,0,8,27,12,15,19,0,47,212,386,139,247,389,17,102,1,25,1002,4,62,0,125,0,21,2429,5053
KARNATAKA,BELLARY,2001,58,41,1,16,0,16,14,11,3,5,0,20,179,303,75,228,260,9,19,1,13,709,5,82,0,49,0,0,1445,3229
KARNATAKA,BIDAR,2001,48,58,4,7,0,7,19,10,9,7,2,36,154,202,45,157,163,7,33,0,21,1015,2,90,3,51,0,0,2449,4371
KARNATAKA,BIJAPUR,2001,51,47,4,6,0,6,24,19,5,5,0,21,108,202,34,168,396,5,19,3,34,695,1,65,0,92,0,0,1163,2941
KARNATAKA,CHAMARAJNAGAR,2001,19,18,0,4,0,4,5,5,0,1,1,9,72,133,20,113,107,3,10,1,25,480,7,43,0,15,0,0,437,1390
KARNATAKA,CHICKMAGALUR,2001,41,24,3,8,0,8,12,7,5,4,0,10,148,222,44,178,187,7,25,4,5,885,4,57,8,83,0,7,1022,2766
KARNATAKA,CHITRADURGA,2001,31,22,0,18,0,18,4,0,4,8,0,20,115,145,38,107,269,7,22,1,8,717,2,48,0,35,0,0,1219,2691
KARNATAKA,DAKSHIN KANNADA,2001,33,36,0,3,0,3,9,6,3,1,0,8,214,219,109,110,127,15,55,5,12,411,1,24,0,25,0,3,1846,3047
KARNATAKA,DAVANAGERE,2001,58,39,6,22,0,22,23,13,10,5,1,26,246,332,114,218,297,12,46,3,1,684,8,84,5,77,0,1,1325,3301
KARNATAKA,DHARWAD COMMR.,2001,16,24,0,4,0,4,8,4,4,5,0,34,159,245,99,146,168,8,56,0,7,191,2,3,0,24,0,4,944,1902
KARNATAKA,DHARWAD RURAL,2001,25,10,2,3,0,3,3,2,1,3,0,5,30,38,1,37,110,7,14,1,0,132,3,8,0,8,0,0,497,899
KARNATAKA,GADAG,2001,22,17,1,2,0,2,4,2,2,4,0,13,55,55,16,39,109,4,23,1,1,165,3,10,0,18,0,0,392,899
KARNATAKA,GULBARGA,2001,95,83,3,20,0,20,35,21,14,10,3,61,246,268,55,213,423,6,68,0,25,1148,6,143,1,104,0,0,1421,4169
KARNATAKA,HASSAN,2001,64,69,0,20,0,20,17,0,17,5,0,23,162,268,59,209,210,9,17,0,0,1483,4,75,1,68,0,0,1544,4039
KARNATAKA,HAVERI,2001,24,17,4,3,0,3,12,11,1,7,0,10,85,111,21,90,260,9,20,2,0,393,5,42,0,32,0,0,1175,2211
KARNATAKA,K.G.F.,2001,20,22,3,1,0,1,12,7,5,4,0,6,94,108,19,89,73,0,12,1,0,256,4,12,0,20,0,0,258,906
KARNATAKA,KODAGU,2001,26,33,2,4,0,4,4,4,0,1,0,3,105,87,11,76,170,2,6,6,3,350,4,22,0,14,0,0,459,1301
KARNATAKA,KOLAR,2001,69,72,4,17,0,17,21,18,3,3,0,25,156,284,63,221,373,9,48,1,0,664,18,42,0,39,0,0,1385,3230
KARNATAKA,KOPPAL,2001,23,33,0,6,0,6,12,12,0,3,0,8,71,120,17,103,166,2,21,1,5,279,5,40,1,23,0,0,587,1406
KARNATAKA,MANDYA,2001,67,47,3,15,0,15,9,1,8,2,0,28,195,328,53,275,280,7,30,2,0,1431,7,50,0,72,0,0,2234,4807
KARNATAKA,MYSORE COMMR.,2001,32,34,0,2,0,2,11,7,4,0,0,32,109,326,140,186,67,17,52,1,0,360,9,8,1,48,0,0,794,1903
KARNATAKA,MYSORE RURAL,2001,53,58,1,12,0,12,14,4,10,0,0,0,167,200,16,184,212,5,15,2,0,1081,6,79,2,51,0,0,942,2900
KARNATAKA,RAICHUR,2001,33,38,9,12,0,12,11,5,6,4,3,13,137,150,46,104,261,8,94,1,15,602,1,63,4,52,0,16,857,2384
KARNATAKA,RAILWAYS,2001,12,0,0,1,0,1,1,0,1,3,0,11,9,331,7,324,16,1,2,4,0,17,1,0,0,0,0,0,174,583
KARNATAKA,SHIMOGA,2001,56,48,1,12,0,12,14,10,4,1,0,15,206,292,100,192,260,4,31,1,20,1148,6,65,0,134,0,0,1864,4178
KARNATAKA,TUMKUR,2001,80,55,4,6,0,6,21,4,17,10,1,27,237,389,92,297,234,13,26,3,69,1099,28,53,0,44,0,4,1738,4141
KARNATAKA,UDUPI,2001,16,14,0,2,0,2,2,0,2,1,0,12,93,112,39,73,107,4,15,1,5,304,0,16,2,16,0,6,1231,1959
KARNATAKA,UTTAR KANNADA,2001,17,14,0,4,0,4,5,3,2,1,0,5,70,81,24,57,118,11,11,1,4,437,3,27,2,34,0,0,1474,2319
MADHYA PRADESH,BALAGHAT,2001,56,43,8,87,0,87,11,11,0,0,5,7,229,226,21,205,42,10,10,0,18,568,3,157,12,72,0,51,1310,2925
MADHYA PRADESH,BARWANI,2001,41,30,3,34,0,34,2,2,0,2,2,18,130,237,30,207,35,6,5,1,10,795,5,81,9,18,0,71,473,2008
MADHYA PRADESH,BETUL,2001,56,48,1,95,0,95,19,16,3,0,0,18,199,246,33,213,9,6,15,0,16,521,7,135,4,71,0,59,1112,2637
MADHYA PRADESH,BHIND,2001,63,97,2,31,0,31,47,20,27,3,8,28,223,283,25,258,99,9,28,1,17,851,34,80,2,54,0,88,1313,3361
MADHYA PRADESH,BHOPAL,2001,61,109,0,106,0,106,55,48,7,8,6,99,852,1351,425,926,77,33,192,0,8,652,15,252,56,132,0,272,9372,13708
MADHYA PRADESH,BHOPAL RLY.,2001,5,3,0,1,0,1,2,2,0,1,0,25,10,705,13,692,3,0,8,0,0,1,0,10,3,0,0,2,257,1036
MADHYA PRADESH,CHHATARPUR,2001,54,72,1,65,0,65,28,23,5,4,4,42,240,163,0,163,104,0,36,0,20,445,20,193,10,46,0,96,1718,3361
MADHYA PRADESH,CHHINDWARA,2001,78,51,2,93,0,93,18,16,2,0,1,18,165,239,66,173,26,16,67,0,26,1085,10,203,32,109,0,98,1335,3672
MADHYA PRADESH,DAMOH,2001,43,78,0,66,0,66,18,10,8,3,1,24,114,188,20,168,54,3,18,0,32,1042,28,189,0,58,0,0,920,2879
MADHYA PRADESH,DATIYA,2001,53,55,0,12,0,12,25,8,17,3,1,26,87,103,12,91,30,1,8,0,9,424,8,57,0,18,0,38,908,1866
MADHYA PRADESH,DEWAS,2001,50,112,0,78,0,78,20,11,9,10,1,67,367,677,115,562,119,16,22,0,39,508,15,279,80,96,0,107,2376,5039
MADHYA PRADESH,DHAR,2001,89,99,0,68,0,68,22,18,4,6,10,35,285,651,72,579,48,33,25,0,28,635,41,168,21,88,0,0,2558,4910
MADHYA PRADESH,DINDORI,2001,13,4,0,20,0,20,2,2,0,0,0,2,52,44,7,37,6,5,6,0,4,119,0,53,6,4,0,14,467,821
MADHYA PRADESH,GUNA,2001,71,72,4,124,0,124,17,15,2,9,12,50,448,350,46,304,171,14,27,0,35,1602,7,317,22,95,0,116,2438,6001
MADHYA PRADESH,GWALIOR,2001,84,168,5,59,0,59,46,22,24,4,5,144,939,925,305,620,170,22,81,0,25,1084,20,139,8,49,0,189,2680,6846
MADHYA PRADESH,HARDA,2001,14,12,0,28,0,28,2,2,0,1,0,3,43,74,10,64,23,0,9,0,8,109,9,35,0,27,0,0,349,746
MADHYA PRADESH,HOSHANGABAD,2001,53,57,27,65,0,65,16,13,3,0,0,31,253,286,51,235,33,8,25,0,13,479,9,109,6,31,0,0,1240,2741
MADHYA PRADESH,INDORE,2001,111,133,1,84,0,84,50,35,15,5,10,112,874,2708,1360,1348,129,59,149,3,29,1306,25,215,63,161,0,269,6567,13063
MADHYA PRADESH,INDORE RLY.,2001,6,4,2,2,0,2,0,0,0,0,1,7,3,193,3,190,2,0,5,0,0,14,0,5,1,0,0,0,108,353
MADHYA PRADESH,JABALPUR,2001,103,167,28,108,0,108,33,20,13,0,3,126,596,887,300,587,112,14,40,0,15,2024,28,264,50,81,0,186,3468,8333
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,0,0,0,0,0,0,0,1,15,0,221,6,215,1,2,2,0,0,14,1,4,0,0,0,0,95,359
MADHYA PRADESH,JHABUA,2001,124,119,3,44,0,44,83,80,3,5,5,20,163,269,13,256,74,5,10,0,45,634,5,127,4,24,0,0,1653,3416
MADHYA PRADESH,KATNI,2001,51,37,1,25,0,25,9,3,6,0,0,29,168,239,56,183,33,1,26,0,8,816,11,106,12,59,0,64,590,2285
MADHYA PRADESH,KHANDWA,2001,41,46,0,63,0,63,14,12,2,5,1,11,311,290,44,246,64,9,44,0,9,84,11,184,15,49,0,58,2602,3911
MADHYA PRADESH,KHARGON,2001,47,41,5,47,0,47,15,14,1,5,9,21,171,533,24,509,80,16,16,0,17,540,5,164,29,21,0,3,1714,3499
MADHYA PRADESH,MANDLA,2001,35,13,0,64,0,64,9,9,0,2,0,11,190,116,20,96,18,2,29,0,15,444,4,151,19,46,0,40,914,2122
MADHYA PRADESH,MANDSAUR,2001,28,33,1,41,0,41,15,8,7,3,0,32,197,444,96,348,56,14,27,2,27,345,4,102,11,30,0,76,1128,2616
MADHYA PRADESH,MORENA,2001,63,99,2,35,0,35,35,18,17,16,3,76,381,564,88,476,198,4,13,0,19,929,29,77,2,34,0,111,2539,5229
MADHYA PRADESH,NARSINGHPUR,2001,38,49,0,70,0,70,7,4,3,1,1,11,121,149,26,123,32,1,10,0,24,832,22,156,16,40,0,51,680,2311
MADHYA PRADESH,NEEMUCH,2001,17,18,0,37,0,37,16,7,9,5,0,15,203,376,52,324,65,24,32,3,18,391,1,83,18,62,0,51,773,2208
MADHYA PRADESH,PANNA,2001,24,26,0,44,0,44,11,10,1,1,0,10,145,99,4,95,54,1,10,1,11,62,19,104,2,31,0,26,1240,1921
MADHYA PRADESH,RAISEN,2001,39,79,9,79,0,79,11,9,2,5,0,27,116,187,12,175,59,6,7,1,18,460,20,194,31,50,0,10,1601,3009
MADHYA PRADESH,RAJGARH,2001,42,68,1,95,0,95,12,9,3,4,0,35,135,218,34,184,161,7,13,0,51,538,7,196,26,49,0,93,1967,3718
MADHYA PRADESH,RATLAM,2001,58,60,0,70,0,70,21,13,8,5,6,54,233,468,102,366,42,13,37,1,17,448,4,125,28,53,0,69,1530,3342
MADHYA PRADESH,REWA,2001,53,54,0,31,0,31,26,18,8,6,2,67,706,410,110,300,149,1,23,0,31,445,18,105,2,56,0,127,2291,4603
MADHYA PRADESH,SAGAR,2001,84,122,0,141,0,141,30,16,14,4,0,53,473,497,22,475,151,10,56,1,51,2669,29,509,0,142,0,106,2553,7681
MADHYA PRADESH,SATNA,2001,49,48,0,58,0,58,16,5,11,3,2,52,588,495,125,370,87,4,12,0,34,822,19,157,6,65,0,125,2121,4763
MADHYA PRADESH,SEONI,2001,40,25,3,52,0,52,3,2,1,1,1,6,122,161,19,142,49,8,19,0,7,344,10,106,23,25,0,73,1065,2143
MADHYA PRADESH,SHAHDOL,2001,57,28,4,63,0,63,13,13,0,2,1,34,464,390,52,338,44,17,19,0,26,433,9,216,3,87,0,0,2252,4162
MADHYA PRADESH,SHAJAPUR,2001,42,46,1,90,0,90,13,8,5,1,3,47,273,588,95,493,92,11,28,0,35,744,8,153,36,65,0,59,1328,3663
MADHYA PRADESH,SHEOPUR,2001,24,30,2,21,0,21,18,3,15,4,4,10,54,94,9,85,38,7,8,0,4,321,6,52,0,14,0,15,327,1053
MADHYA PRADESH,SHIVPURI,2001,88,63,2,72,0,72,20,11,9,5,11,48,272,255,217,38,140,11,27,0,38,792,14,172,2,26,0,162,2101,4321
MADHYA PRADESH,SIDHI,2001,36,21,2,42,0,42,33,30,3,9,1,15,315,346,18,328,33,2,25,2,23,561,27,105,2,66,0,89,1753,3508
MADHYA PRADESH,SIHORE,2001,35,54,1,59,0,59,29,27,2,1,2,19,355,364,59,305,53,17,26,0,23,331,5,130,17,45,0,68,1755,3389
MADHYA PRADESH,TIKAMGARH,2001,53,46,3,86,0,86,7,4,3,6,2,46,154,172,11,161,90,0,12,0,26,878,15,177,2,27,0,64,1212,3078
MADHYA PRADESH,UJJAIN,2001,84,163,1,59,0,59,44,33,11,6,1,79,826,1387,265,1122,133,24,64,3,38,744,7,161,33,109,0,52,3623,7641
MADHYA PRADESH,UMARIYA,2001,19,12,0,25,0,25,3,2,1,2,0,19,130,127,1,126,30,4,16,0,12,130,2,61,5,21,0,0,1231,1849
MADHYA PRADESH,VIDISHA,2001,47,56,0,112,0,112,10,6,4,0,4,20,174,268,41,227,77,5,26,0,35,880,13,245,22,56,0,49,1536,3635
MAHARASHTRA,AHMEDNAGAR,2001,97,41,1,44,0,44,37,25,12,20,6,104,312,715,168,547,266,37,59,7,44,575,0,74,2,496,0,479,975,4391
MAHARASHTRA,AKOLA,2001,64,41,0,15,0,15,15,14,1,9,0,41,298,735,81,654,99,15,59,16,48,836,2,109,7,189,0,116,1306,4020
MAHARASHTRA,AMRAVATI COMMR.,2001,44,29,3,23,0,23,27,23,4,10,0,48,259,812,163,649,95,10,41,2,15,429,10,43,26,55,0,60,796,2837
MAHARASHTRA,AMRAVATI RURAL,2001,72,23,0,42,0,42,29,25,4,1,0,36,359,1031,26,1005,112,12,31,1,23,884,4,99,38,92,0,126,640,3655
MAHARASHTRA,AURANGABAD COMMR.,2001,36,27,0,14,0,14,19,14,5,3,2,40,239,503,179,324,130,26,108,1,3,371,4,33,12,102,0,109,569,2351
MAHARASHTRA,AURANGABAD RURAL,2001,61,12,0,28,0,28,16,6,10,14,1,49,193,273,30,243,139,13,35,0,24,780,6,53,12,247,0,172,580,2708
MAHARASHTRA,BEED,2001,68,43,1,22,0,22,25,15,10,16,1,62,264,499,70,429,272,14,41,0,38,1012,2,78,15,177,0,174,820,3644
MAHARASHTRA,BHANDARA,2001,32,22,3,39,0,39,4,1,3,2,0,15,195,402,27,375,63,12,19,1,55,392,5,71,37,60,0,90,733,2252
MAHARASHTRA,BULDHANA,2001,49,32,1,22,0,22,22,18,4,11,1,27,227,749,45,704,246,17,46,0,69,753,35,118,21,223,0,155,877,3701
MAHARASHTRA,CHANDRAPUR,2001,49,26,4,43,0,43,10,7,3,8,0,36,253,572,57,515,110,21,35,1,39,538,2,102,28,144,0,180,922,3123
MAHARASHTRA,DHULE,2001,48,25,1,16,0,16,6,6,0,7,3,13,96,360,56,304,86,20,36,0,22,338,6,17,8,127,0,189,616,2040
MAHARASHTRA,GADCHIROLI,2001,47,24,3,27,0,27,7,6,1,11,0,15,127,124,15,109,28,3,12,0,51,246,0,55,17,57,0,49,461,1364
MAHARASHTRA,GONDIA,2001,41,17,3,23,0,23,17,17,0,4,4,13,238,326,30,296,20,18,30,2,20,328,4,85,22,80,0,94,617,2006
MAHARASHTRA,HINGOLI,2001,36,27,0,20,0,20,9,8,1,4,2,39,119,241,24,217,96,6,20,0,33,471,2,44,4,134,0,61,473,1841
MAHARASHTRA,JALGAON,2001,83,44,0,19,0,19,16,12,4,16,5,30,238,557,72,485,157,41,119,0,22,721,5,76,31,389,0,259,1186,4014
MAHARASHTRA,JALNA,2001,43,24,0,16,0,16,12,8,4,13,1,46,209,345,48,297,120,13,38,0,38,675,5,56,7,172,0,109,587,2529
MAHARASHTRA,KOLHAPUR,2001,54,33,3,26,0,26,21,13,8,11,3,32,299,561,164,397,129,35,71,2,20,516,19,46,7,80,0,279,915,3162
MAHARASHTRA,LATUR,2001,42,17,0,7,0,7,22,22,0,3,2,31,157,281,58,223,211,20,45,2,28,992,38,50,7,150,0,134,805,3044
MAHARASHTRA,MUMBAI,2001,295,200,6,127,0,127,148,12,136,61,80,406,2863,11564,3095,8469,196,393,1270,170,6,3845,18,274,44,198,0,709,6095,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,9,1,2,0,2,1,0,1,0,3,29,3,1756,0,1756,13,26,34,0,0,30,0,5,0,0,0,2,97,2023
MAHARASHTRA,NAGPUR COMMR.,2001,112,70,2,39,0,39,64,51,13,14,55,171,1388,2666,797,1869,235,74,263,11,15,1078,7,75,56,218,0,223,3076,9912
MAHARASHTRA,NAGPUR RLY.,2001,12,1,0,2,0,2,0,0,0,6,0,20,2,762,8,754,18,5,7,11,2,29,2,4,0,0,0,3,170,1056
MAHARASHTRA,NAGPUR RURAL,2001,101,56,6,81,0,81,23,16,7,7,1,58,501,1074,62,1012,180,27,37,0,81,1050,3,131,294,141,0,254,1574,5680
MAHARASHTRA,NANDED,2001,80,66,4,23,0,23,41,36,5,21,11,93,426,539,73,466,217,40,128,0,67,1480,21,85,22,202,0,127,1655,5348
MAHARASHTRA,NANDURBAR,2001,44,20,0,16,0,16,6,6,0,4,0,5,68,132,19,113,80,12,13,0,4,240,2,27,1,78,0,59,268,1079
MAHARASHTRA,NASIK COMMR.,2001,25,14,2,9,0,9,14,9,5,7,1,16,263,529,188,341,139,18,61,0,19,245,3,19,2,99,0,138,572,2195
MAHARASHTRA,NASIK RURAL,2001,92,54,1,39,0,39,17,10,7,40,0,36,280,447,90,357,518,57,54,1,69,926,7,74,37,339,0,495,1297,4880
MAHARASHTRA,NAVI MUMBAI,2001,34,18,0,17,0,17,19,7,12,15,16,62,375,893,318,575,80,88,148,6,3,354,5,23,5,57,0,228,617,3063
MAHARASHTRA,OSMANABAD,2001,48,13,1,16,0,16,8,7,1,8,1,29,189,349,45,304,101,17,34,0,26,903,2,52,6,102,0,171,626,2702
MAHARASHTRA,PARBHANI,2001,49,28,0,25,0,25,22,16,6,5,2,43,143,230,18,212,148,14,42,1,31,994,1,57,10,120,0,70,440,2475
MAHARASHTRA,PUNE COMMR.,2001,71,44,3,56,0,56,46,28,18,14,13,98,840,2508,1277,1231,903,84,347,5,16,1004,2,54,105,147,1,300,2275,8936
MAHARASHTRA,PUNE RLY.,2001,4,1,2,0,0,0,0,0,0,1,0,4,0,302,1,301,3,1,3,0,0,10,0,3,0,0,0,0,52,386
MAHARASHTRA,PUNE RURAL,2001,119,41,6,42,0,42,24,17,7,23,20,70,301,635,168,467,150,35,46,1,28,517,5,64,11,165,0,698,1379,4380
MAHARASHTRA,RAIGAD,2001,53,11,0,20,0,20,8,1,7,13,7,27,200,296,54,242,104,16,44,2,10,276,1,29,7,55,0,275,764,2218
MAHARASHTRA,RATNAGIRI,2001,17,5,1,10,0,10,8,4,4,3,2,14,97,256,34,222,69,18,20,1,17,232,0,32,19,62,0,119,429,1431
MAHARASHTRA,SANGLI,2001,85,24,1,32,0,32,18,8,10,8,3,27,225,515,97,418,128,31,55,0,47,566,12,54,22,96,0,263,787,2999
MAHARASHTRA,SATARA,2001,57,19,0,32,0,32,12,7,5,6,2,20,266,464,127,337,93,43,91,2,24,487,13,49,9,179,0,387,1210,3465
MAHARASHTRA,SINDHUDURG,2001,14,4,1,7,0,7,2,2,0,1,0,4,125,106,17,89,17,12,13,1,11,171,0,20,13,8,0,66,225,821
MAHARASHTRA,SOLAPUR COMMR.,2001,30,14,1,16,0,16,15,11,4,7,1,32,165,306,98,208,70,7,49,3,3,230,6,15,4,62,0,82,449,1567
MAHARASHTRA,SOLAPUR RURAL,2001,101,30,3,35,0,35,23,14,9,19,12,29,134,365,65,300,162,33,30,4,29,637,6,40,12,90,0,384,967,3145
